file,group,return_period,SLR
Hazards/Coastal/penama_province/FloodDepth_penama_10_0.8.tif,penama,10,0.8
Hazards/Coastal/penama_province/FloodDepth_penama_10_0.9.tif,penama,10,0.9
Hazards/Coastal/penama_province/FloodDepth_penama_10_0.tif,penama,10,0
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.0.tif,penama,10,1.0
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.1.tif,penama,10,1.1
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.2.tif,penama,10,1.2
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.3.tif,penama,10,1.3
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.4.tif,penama,10,1.4
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.5.tif,penama,10,1.5
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.6.tif,penama,10,1.6
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.7.tif,penama,10,1.7
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.8.tif,penama,10,1.8
Hazards/Coastal/penama_province/FloodDepth_penama_10_1.9.tif,penama,10,1.9
Hazards/Coastal/penama_province/FloodDepth_penama_10_2.0.tif,penama,10,2.0
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.1.tif,penama,250,0.1
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.2.tif,penama,250,0.2
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.3.tif,penama,250,0.3
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.4.tif,penama,250,0.4
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.5.tif,penama,250,0.5
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.6.tif,penama,250,0.6
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.7.tif,penama,250,0.7
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.8.tif,penama,250,0.8
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.9.tif,penama,250,0.9
Hazards/Coastal/penama_province/FloodDepth_penama_250_0.tif,penama,250,0
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.0.tif,penama,250,1.0
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.1.tif,penama,250,1.1
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.2.tif,penama,250,1.2
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.3.tif,penama,250,1.3
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.4.tif,penama,250,1.4
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.5.tif,penama,250,1.5
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.6.tif,penama,250,1.6
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.7.tif,penama,250,1.7
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.8.tif,penama,250,1.8
Hazards/Coastal/penama_province/FloodDepth_penama_250_1.9.tif,penama,250,1.9
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.1.tif,penama,25,0.1
Hazards/Coastal/penama_province/FloodDepth_penama_250_2.0.tif,penama,250,2.0
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.2.tif,penama,25,0.2
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.3.tif,penama,25,0.3
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.4.tif,penama,25,0.4
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.5.tif,penama,25,0.5
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.6.tif,penama,25,0.6
Hazards/Coastal/penama_province/FloodDepth_penama_25_0.7.tif,penama,25,0.7
